gender,region,degree_type,parent_education,medium_of_instruction,internet_quality,coaching_enrolled,financial_stress,num_subjects,study_hours_per_week,attendance_rate,sleep_hours_avg,extracurricular_count,prev_cgpa,internal_marks_pct,assignment_completion_pct,ai_reliance,independent_after_ai,ai_anxiety,verify_ai_answers,reduced_thinking_effort,ai_assignment_pct,multitask_studying,shortform_consumption,doomscroll_sleep,nonstudy_screen_time,ai_usage_frequency,ai_authenticity_risk,stylometric_consistency,comprehension_depth,reasoning_coherence,code_originality,cross_modal_consistency,learning_trajectory_slope,knowledge_boundary_breadth,conceptual_error_rate,authentic_engagement,dominant_error_type,target
Male,West,BCA,12th Pass,Hindi,4G/Good,No,7,8,21.1,70.8,6.6,5,6.92,49.4,43.6,4.0,4.0,2.0,4.0,4.0,13.0,1.0,1.0,1.0,3.0,5+/day,0.337,71.9,61.8,52.9,61.9,46.6,0.45733333333333337,55.1,0.468,73.7,Minimal,Pass
Female,North,B.Tech,12th Pass,Hindi,4G/Good,No,2,7,24.0,97.9,6.6,1,6.47,75.2,61.1,2.0,4.0,4.0,5.0,4.0,13.0,4.0,3.0,3.0,1.0,5+/day,0.196,96.3,79.5,68.0,79.0,72.6,0.47333333333333333,60.9,0.315,86.1,Conceptual,Pass
Female,Northeast,B.Tech,12th Pass,English,5G/Excellent,Yes,4,7,18.7,77.0,7.9,4,6.34,43.3,37.4,5.0,1.0,4.0,2.0,1.0,88.0,3.0,2.0,3.0,5.0,5+/day,0.606,28.4,36.2,27.8,32.5,75.8,-0.27899999999999997,37.2,0.722,40.8,Conceptual,At-Risk
Female,East,MCA,Graduate,Regional,3G/Moderate,Yes,7,5,11.7,75.3,5.3,0,6.32,44.1,96.4,3.0,4.0,4.0,3.0,3.0,38.0,3.0,3.0,4.0,7.0,5+/day,0.284,60.9,67.2,56.0,60.5,37.6,0.09033333333333333,68.5,0.329,61.9,Language,Pass
Male,North,B.E.,Graduate,Regional,4G/Good,No,4,6,27.1,79.2,6.6,4,8.49,87.5,76.9,4.0,3.0,1.0,5.0,5.0,38.0,3.0,4.0,2.0,5.0,1-3/day,0.248,76.2,77.8,71.2,74.3,87.4,0.48033333333333333,75.2,0.171,83.3,Language,Pass
Male,Central,B.Com,10th Pass,English,4G/Good,No,6,6,15.5,100.0,4.5,4,5.54,41.0,59.8,3.0,1.0,4.0,3.0,5.0,63.0,3.0,4.0,4.0,7.0,3-5/day,0.617,38.4,30.4,25.6,28.8,62.7,-0.652,33.1,0.559,31.1,Conceptual,Fail
Male,East,B.E.,10th Pass,Hindi,5G/Excellent,No,9,6,20.7,58.5,5.8,2,4.13,50.1,37.2,4.0,3.0,1.0,5.0,5.0,38.0,3.0,4.0,2.0,5.0,1-3/day,0.343,60.3,48.2,48.7,60.9,52.5,0.297,48.8,0.615,63.4,Conceptual,Fail
Female,North,M.Tech,Post-Graduate,Hindi,4G/Good,No,5,7,21.5,87.4,8.4,0,7.47,59.9,63.0,3.0,2.0,5.0,3.0,4.0,38.0,3.0,3.0,2.0,1.0,5+/day,0.418,70.7,61.0,54.1,62.5,78.1,0.07766666666666668,56.0,0.368,67.2,Procedural,Pass
Female,West,B.E.,12th Pass,English,4G/Good,No,3,5,18.5,95.5,6.6,4,5.32,49.9,49.9,3.0,1.0,4.0,4.0,5.0,63.0,3.0,4.0,3.0,3.0,5+/day,0.529,35.7,33.9,21.9,37.2,68.1,-0.16666666666666666,30.3,0.599,49.5,Conceptual,At-Risk
Female,South,B.Com,10th Pass,English,3G/Moderate,Yes,6,5,4.4,70.4,5.8,2,5.4,57.3,41.8,1.0,2.0,5.0,1.0,5.0,13.0,3.0,3.0,3.0,3.0,5+/day,0.541,57.8,45.5,27.1,35.0,75.0,-0.129,33.7,0.691,54.7,Conceptual,Fail
Male,Northeast,B.Com,Graduate,Hindi,4G/Good,No,4,6,13.3,88.4,5.3,3,5.99,66.6,95.1,3.0,4.0,4.0,3.0,5.0,38.0,2.0,2.0,3.0,7.0,5+/day,0.308,64.8,80.7,66.8,66.3,71.7,0.37166666666666665,73.9,0.366,75.2,Minimal,Pass
Female,Northeast,B.Tech,Post-Graduate,Regional,5G/Excellent,No,9,4,21.3,73.3,4.5,1,6.05,76.2,36.8,3.0,2.0,1.0,3.0,4.0,0.0,2.0,3.0,2.0,3.0,5+/day,0.415,60.8,70.7,53.6,54.6,73.3,0.42966666666666664,62.8,0.346,69.3,Language,Pass
Female,Central,M.Tech,Graduate,English,5G/Excellent,Yes,2,6,29.0,100.0,8.0,2,7.82,57.5,62.5,4.0,3.0,1.0,5.0,5.0,38.0,3.0,4.0,2.0,5.0,1-3/day,0.434,71.8,62.4,53.3,52.6,75.0,0.29,64.6,0.503,68.6,Conceptual,Pass
Male,East,MCA,Graduate,Hindi,4G/Good,No,10,7,22.7,66.5,9.7,2,5.33,43.0,59.6,5.0,4.0,3.0,5.0,5.0,88.0,4.0,4.0,4.0,5.0,5+/day,0.413,33.5,47.7,61.4,49.9,44.5,-0.020666666666666667,57.8,0.483,60.8,Conceptual,Fail
Male,South,B.Tech,10th Pass,Regional,4G/Good,No,5,4,21.4,89.0,5.9,4,6.94,65.2,58.7,1.0,2.0,2.0,3.0,4.0,13.0,3.0,2.0,2.0,5.0,5+/day,0.166,76.5,68.8,71.7,72.8,53.4,0.8606666666666666,67.3,0.35,87.2,Language,Pass
Male,West,BCA,Graduate,English,5G/Excellent,Yes,9,5,4.1,76.8,3.8,2,4.9,53.0,63.8,3.0,4.0,4.0,1.0,3.0,88.0,1.0,3.0,4.0,3.0,1-3/day,0.499,40.3,42.4,39.9,34.6,64.3,-0.24866666666666667,38.5,0.539,46.9,Conceptual,At-Risk
Male,North,B.Tech,12th Pass,English,No Access,No,10,8,25.4,80.3,8.8,5,4.84,34.2,47.9,5.0,1.0,4.0,1.0,3.0,38.0,3.0,2.0,3.0,7.0,5+/day,0.736,31.5,30.7,31.0,31.0,82.1,-0.698,21.0,0.602,30.9,Conceptual,Fail
Female,East,MCA,Graduate,Regional,2G/Slow,No,7,4,24.5,78.5,5.2,2,4.64,39.5,68.9,3.0,3.0,4.0,2.0,5.0,63.0,3.0,4.0,3.0,1.0,5+/day,0.401,60.8,38.1,38.7,35.6,37.1,-0.12033333333333333,49.4,0.604,49.9,Language,At-Risk
Male,East,B.Tech,10th Pass,English,4G/Good,No,5,5,22.0,95.3,7.1,5,5.66,43.0,33.2,4.0,5.0,3.0,4.0,4.0,38.0,3.0,2.0,3.0,3.0,5+/day,0.425,60.5,50.0,45.9,59.2,63.9,0.09499999999999999,54.7,0.359,61.1,Procedural,Pass
Male,North,B.Tech,Below 10th,English,3G/Moderate,Yes,8,4,19.9,84.3,7.3,4,6.39,53.7,43.8,5.0,1.0,4.0,4.0,5.0,88.0,3.0,2.0,4.0,3.0,3-5/day,0.642,30.1,37.9,42.5,27.3,65.4,-0.31766666666666665,35.8,0.614,38.8,Conceptual,Fail
Female,South,B.E.,12th Pass,English,5G/Excellent,Yes,2,6,21.5,65.1,8.2,2,6.73,64.7,50.0,4.0,4.0,3.0,4.0,5.0,38.0,3.0,2.0,1.0,3.0,5+/day,0.434,71.2,43.1,63.8,57.5,84.4,0.10966666666666668,59.5,0.532,64.7,Minimal,At-Risk
Male,Northeast,BCA,10th Pass,English,4G/Good,Yes,4,4,26.6,86.6,6.2,5,5.35,58.0,76.1,5.0,2.0,4.0,2.0,4.0,38.0,3.0,3.0,2.0,1.0,5+/day,0.511,53.5,49.2,33.6,46.6,68.8,0.161,58.1,0.582,56.7,Minimal,Pass
Male,Northeast,M.Tech,Graduate,Regional,4G/Good,Yes,6,4,17.6,85.4,7.2,1,5.65,69.5,39.7,4.0,4.0,4.0,4.0,4.0,88.0,4.0,4.0,4.0,5.0,5+/day,0.522,60.8,54.5,57.4,51.3,66.2,-0.055,65.1,0.453,61.0,Language,Pass
Male,North,B.Com,Post-Graduate,Hindi,4G/Good,Yes,7,4,20.6,94.6,6.0,0,6.41,65.0,83.7,4.0,5.0,3.0,4.0,4.0,38.0,3.0,2.0,3.0,3.0,5+/day,0.432,70.8,73.4,66.7,63.7,80.2,0.4466666666666667,64.2,0.285,77.5,Minimal,Pass
Male,North,B.E.,Graduate,English,4G/Good,No,8,7,15.9,86.2,3.5,4,7.49,50.8,44.3,4.0,3.0,4.0,4.0,4.0,88.0,3.0,3.0,4.0,3.0,5+/day,0.497,29.9,60.0,48.6,51.4,84.0,-0.14266666666666666,55.4,0.486,55.8,Conceptual,At-Risk
Female,South,B.Tech,Graduate,Hindi,4G/Good,No,4,7,18.1,63.9,5.9,3,6.11,58.6,40.9,3.0,2.0,4.0,1.0,3.0,63.0,3.0,3.0,3.0,5.0,Never,0.627,43.3,50.2,55.3,52.0,59.1,0.028333333333333335,51.8,0.515,45.7,Conceptual,Fail
Male,Northeast,BCA,12th Pass,Regional,3G/Moderate,No,9,6,18.8,96.3,7.1,3,5.35,53.4,53.4,2.0,2.0,5.0,3.0,5.0,38.0,4.0,2.0,3.0,3.0,5+/day,0.438,46.8,49.4,60.6,52.0,73.1,-0.223,50.9,0.622,54.6,Language,At-Risk
Male,North,BCA,Graduate,English,4G/Good,No,7,8,22.3,95.9,5.0,5,5.65,40.0,55.9,4.0,3.0,4.0,2.0,5.0,13.0,2.0,2.0,2.0,1.0,5+/day,0.633,47.3,45.2,45.4,51.2,80.2,0.14733333333333334,49.7,0.485,56.9,Procedural,Pass
Female,West,B.E.,Graduate,English,3G/Moderate,Yes,2,7,14.5,88.4,6.6,0,7.39,59.7,82.5,4.0,4.0,3.0,4.0,5.0,38.0,3.0,2.0,1.0,3.0,5+/day,0.385,69.1,60.8,59.7,51.5,80.6,0.3056666666666667,50.0,0.333,72.4,Minimal,Pass
Male,North,B.Tech,Graduate,Regional,3G/Moderate,No,9,8,17.2,85.6,6.9,1,5.47,61.0,69.9,5.0,2.0,4.0,3.0,4.0,63.0,4.0,3.0,3.0,5.0,5+/day,0.466,49.0,53.9,46.7,51.0,74.9,-0.05366666666666667,58.9,0.491,59.2,Language,At-Risk
Female,West,B.E.,12th Pass,Regional,4G/Good,No,7,7,20.3,86.7,8.5,2,4.03,31.0,41.0,1.0,3.0,4.0,3.0,4.0,38.0,2.0,3.0,3.0,3.0,1-3/day,0.409,82.5,45.0,45.7,51.7,49.6,0.5603333333333333,42.3,0.452,70.8,Language,Pass
Male,South,B.Tech,12th Pass,English,2G/Slow,No,5,5,17.1,96.0,5.1,5,5.07,60.5,45.9,3.0,1.0,4.0,1.0,5.0,88.0,4.0,3.0,4.0,1.0,3-5/day,0.86,7.8,34.7,20.3,26.4,46.1,-0.735,17.0,0.722,29.5,Procedural,Fail
Male,West,MCA,Graduate,English,5G/Excellent,Yes,3,5,19.1,98.5,6.9,3,6.51,52.4,58.2,4.0,5.0,4.0,2.0,3.0,38.0,1.0,4.0,2.0,3.0,1-3/day,0.499,45.3,55.7,57.0,43.0,77.1,0.169,43.6,0.589,56.7,Minimal,Pass
Female,North,B.E.,10th Pass,English,4G/Good,No,9,4,9.7,88.6,4.9,2,3.68,39.5,39.0,3.0,5.0,5.0,1.0,5.0,38.0,3.0,3.0,4.0,7.0,3-5/day,0.584,53.9,38.4,45.8,34.5,59.0,-0.537,27.2,0.658,39.6,Conceptual,Fail
Female,West,M.Tech,Graduate,English,5G/Excellent,Yes,7,8,21.9,89.8,3.2,1,7.0,48.6,74.0,4.0,3.0,5.0,1.0,2.0,38.0,3.0,3.0,3.0,7.0,5+/day,0.308,56.3,53.1,68.7,46.9,47.2,0.15133333333333335,64.0,0.35,62.3,Minimal,Pass
Female,North,B.E.,Post-Graduate,Hindi,3G/Moderate,No,3,4,13.7,84.6,5.8,4,5.84,56.0,48.3,4.0,1.0,5.0,5.0,2.0,88.0,2.0,4.0,3.0,1.0,5+/day,0.56,57.4,45.9,52.6,52.3,76.3,-0.005666666666666667,56.3,0.511,61.6,Conceptual,Pass
Male,West,B.Tech,12th Pass,English,5G/Excellent,No,5,4,8.3,100.0,5.7,0,6.44,60.9,73.9,3.0,2.0,5.0,3.0,3.0,38.0,3.0,3.0,3.0,3.0,3-5/day,0.392,60.5,45.8,36.5,53.2,70.5,-0.004,55.0,0.391,64.6,Procedural,Pass
